UniqueKey,Ranking,Resight ID,Name,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity
,Capital Markets - Equity,IND03708,Abhinav Maker,5.7,,27,2.3,,0,2.9,6,8.4,8.2,,7.8,8,8.9,8.2
,Capital Markets - Equity,IND01046,Vishnu Dutt U,5.7,,28,3,,0,5.3,7.3,8.7,7.8,,7.9,7.6,8.8,7.5
,Capital Markets - Equity,IND02647,Pratichi Mishra,5.6,,29,2.3,,0,4.7,4.4,7.5,7.9,,4.7,9.1,8.4,8.5
,Capital Markets - Equity,IND01705,Abhiroop Lahiri,5.6,,30,2.9,,0,4.7,6.8,9.2,7.7,,6.9,8,9.4,7
,Capital Markets - Equity,IND00245,Thomas George,5.6,,31,2.7,,0,5.8,4.7,7.9,7.7,,6.1,7.9,9.7,7.5
,Capital Markets - Equity,IND02009,Pracheta Bhattacharya,5.6,,32,2.2,,0,4.7,3.3,7.7,8.5,,8.3,8.8,9.8,7.8
,Capital Markets - Equity,IND00552,Veena Sivaramakrishnan,5.6,,33,3,,0,5.3,6.8,8.7,7.6,,7.6,7.2,9.2,7.2
,Capital Markets - Equity,IND01744,Priyadarshini Rao,5.5,,34,2.7,,0,4.7,6,8.3,7.8,,5.5,8.5,10,7.5
,Capital Markets - Equity,IND00140,Oishik Bagchi,5.4,,35,2,,0,0,7.2,8.8,7.9,,7.1,7.9,9.4,7.5
,Capital Markets - Equity,IND00716,Brajendu Bhaskar,5.4,,36,2.3,,0,2.9,6.5,7.4,7.8,,6.7,7.6,10,7.5
,Capital Markets - Equity,IND00406,Abhiroop Datta,5.3,,37,2.4,,0,2.9,7,8.1,7,,5.1,8.1,7.1,7
,Capital Markets - Equity,IND03141,Vinay Sirohia,5.1,,38,1.7,,0,0,6,8.1,7.6,,7.3,8,5.7,8.2
,Capital Markets - Equity,IND07590,Prashant Rajput,4.9,,39,2.7,,0,4.7,6.5,8.1,6.1,,5.1,6.1,8.1,5.8
,Capital Markets - Equity,IND00004,Aayush Mohata,4.2,,40,2.4,,0,2.9,6.2,9,4,,6.7,0,4.7,6.5
,Capital Markets - Debt,IND00120,Manisha Shroff,8.8,Ranked 1st,1,9.3,Ranked 1st,10,8.2,7.9,9.6,9.2,Ranked 2nd,10,10,8.8,8.8
,Capital Markets - Debt,IND02109,Uttara M. Kolhatkar,7.9,Ranked 2nd,2,8.5,Ranked 2nd,8.1,8.4,9.5,9.5,8.5,Top 5,6.5,9.7,10,8
,Capital Markets - Debt,IND00536,Shubhangi Garg,7.5,Ranked 3rd,3,6.2,Top 5,5.5,5.5,7.5,9.4,8.5,Top 5,8.4,8.5,8.6,8.5
,Capital Markets - Debt,IND04763,Pranav Sharma,7,Top 5,4,6.2,Top 5,5.5,6,6.4,10,8.3,Top 10,7.7,7.3,9.8,8.2
,Capital Markets - Debt,IND02940,Priyanka Kumar,6.9,Top 5,5,6.6,Ranked 3rd,5.5,7.7,7.9,8.5,7.6,Top 10,9.6,0,10,9.2
,Capital Markets - Debt,IND02962,Rahul Gulati,6.6,,6,4,Top 10,2.9,2.9,5.7,9.2,9.5,Ranked 1st,10,10,9.9,9
,Capital Markets - Debt,IND07528,Niloufer Lam,5.9,,7,3.9,Top 10,0,10,6.7,9.2,8.7,Ranked 3rd,8.6,8.7,7.4,9.2
,Capital Markets - Debt,IND02534,Aditya Bhargava,5.5,,8,2.5,Top 10,0,4.9,10,0,7,Top 10,8.5,6.6,0,9.8
,Capital Markets - Debt,IND00398,Subhalakshmi Naskar,5.3,,9,3,Top 10,0,4.7,7.5,9.2,6.2,Top 10,0,0,8.8,0
,Capital Markets - Debt,IND02750,Satadru Goswami,4.7,,10,1.5,Top 10,0,0,3.9,9.6,6.5,Top 10,4.1,5.3,7.4,7.5
,Competition,IND00759,Nisha Kaur Uberoi,9,Ranked 1st,1,9.6,Ranked 1st,9.9,10,8,10,10,Ranked 1st,10,-,10,10
,Competition,IND00454,Harman Singh Sandhu,9,Ranked 2nd,2,9.3,Ranked 2nd,10,9.9,7.9,7,9.1,Top 10,7.4,-,10,9.5
