Resight ID,Ranking,@Image path,Name,Position,Location,Organisation,Bio,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity,Sophistication score,Sophistication rank badge,S Tech and data,S Pricing,S Talent development,Experience score,Experience rank badge,E Service,E Expertise,E Commerciality,E Communication,E EQ,E Strategy,E Network,E Leadership
IND00064,Arbitration,Photos/Chakrapani Mishra 2025 web.png,Chakrapani Misra,Partner,Mumbai,Khaitan & Co,,5.2,,30,4.4,,1,9.2,7.2,9.1,5.5,,5.7,4.2,0,8,6.2,,6,7,6,-,,-,-,-,-,-,-,-,-
IND00502,Capital Markets - Equity,Photos/prashant-Gupta.png,Prashant Gupta,National Practice Head  of Capital Markets,Delhi,Shardul Amarchand Mangaldas & Co,,9.3,Ranked 1st,1,9.7,Ranked 1st,10,9.8,8.9,9.5,9.2,Ranked 2nd,7.3,9.9,9.9,9.2,8.7,Ranked 1st,7.3,9,10,10,Ranked 1st,10,10,10,10,10,10,10,10
IND01732,Capital Markets - Equity,Photos/Manan-Lahoty.jpg,Manan Lahoty,Partner,Mumbai,Cyril Amarchand Mangaldas,,8.7,Ranked 2nd,2,9.2,Ranked 2nd,9,9.7,8.5,10,9,Top 10,7.9,9.8,7.9,9.5,7.2,,6,8,8,8.5,Top 10,10,10,10,10,10,10,10,10
IND03123,Capital Markets - Equity,Photos/Yash-Ashar - ECM.png,Yash J. Ashar,Partner & Head of Capital Markets,Mumbai,Cyril Amarchand Mangaldas,,8.5,Ranked 3rd,3,9.2,Ranked 3rd,9.3,10,8.2,8.8,8.8,Top 10,6.5,10,9.7,8.5,6.5,,7.3,8,5,9.7,Ranked 2nd,10,10,9.4,9.4,9.4,10,9.4,9.4
IND02634,Capital Markets - Equity,Photos/Sandip-Bhagat-GS-scaled.jpg,Sandip Bhagat,Partner,Mumbai,S&R Associates,,8.5,Top 5,4,8.5,Top 5,8.2,10,7.9,8,9,Top 10,6.3,10,10,9.2,7.3,,6.7,7,8,8.5,Top 10,10,10,10,10,10,10,10,10
IND00777,Capital Markets - Equity,Photos/Richa Choudhary.png,Richa Choudhary,Partner,Mumbai,Trilegal,,8.2,Top 5,5,6.6,,5,9,7,9.7,9.8,Ranked 1st,10,9.9,10,9.5,8.3,Ranked 3rd,8.7,6,9,8.8,Top 10,10,9,9,9,8,9,9,9
IND00494,Capital Markets - Equity,Photos/nikhil-naredi.png,Nikhil Naredi,Partner,Mumbai,Shardul Amarchand Mangaldas & Co,,8.1,Top 10,6,8.6,Top 5,9,8.6,7,8.7,8.3,,7.6,9,9.8,7.3,6.5,,6.7,7,6,-,,-,-,-,-,-,-,-,-
IND00715,Capital Markets - Equity,Photos/bhakta-patnaik-1.png,Bhakta Patnaik,Partner,Mumbai,Trilegal,,8,Top 10,7,7,Top 10,6.5,8.6,6.7,7.5,9.1,Ranked 3rd,8.8,8.6,10,9.2,7.7,Top 5,7.3,6,9,8.5,Top 10,10,10,10,10,10,10,10,10
IND00005,Capital Markets - Equity,Photos/Abhimanyu-Bhattacharya.png,Abhimanyu Bhattacharya,Partner,Mumbai,Khaitan & Co,,7.9,Top 10,8,8,Top 10,7.7,9.3,7,8.5,7.9,,6.1,8.5,6.5,8.5,7.5,Top 10,7.3,7,8,-,,-,-,-,-,-,-,-,-
IND03138,Capital Markets - Equity,Photos/Vijay-Parthasarathi.png,Vijay Parthasarathi,Partner  & Regional Co-Head of Markets,Bengaluru,Trilegal,,7.8,Top 10,9,7.7,Top 10,7.7,7.2,7.6,8.8,8.4,,8.3,8.7,8.2,8.2,6.9,,7.3,6,7,7.9,,10,10,10,10,10,8,8,8
